title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
$,1971,121,NA,6.4,348,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,1,0,0,0
$1000 a Touchdown,1939,71,NA,6.0,20,0.0,14.5,4.5,24.5,14.5,14.5,14.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
$21 a Day Once a Month,1941,7,NA,8.2,5,0.0,0.0,0.0,0.0,0.0,24.5,0.0,44.5,24.5,24.5,,0,1,0,0,0,0,1
"$40,000",1996,70,NA,8.2,6,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,45.5,,0,0,1,0,0,0,0
"$50,000 Climax Show, The",1975,71,NA,3.4,17,24.5,4.5,0.0,14.5,14.5,4.5,0.0,0.0,0.0,24.5,,0,0,0,0,0,0,0
$pent,2000,91,NA,4.3,45,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,14.5,,0,0,0,1,0,0,0
$windle,2002,93,NA,5.3,200,4.5,0.0,4.5,4.5,24.5,24.5,14.5,4.5,4.5,14.5,R,1,0,0,1,0,0,0
'15',2002,25,NA,6.7,24,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,1,0,1
'38,1987,97,NA,6.6,18,4.5,4.5,4.5,0.0,0.0,0.0,34.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
'49-'17,1917,61,NA,6.0,51,4.5,0.0,4.5,4.5,4.5,44.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
'68,1988,99,NA,5.4,23,4.5,0.0,4.5,14.5,24.5,4.5,24.5,4.5,14.5,4.5,,0,0,0,1,0,0,0
'94 du bi dao zhi qing,1994,96,NA,5.9,53,4.5,0.0,4.5,4.5,4.5,14.5,24.5,14.5,4.5,24.5,,0,0,0,0,0,0,0
"'?' Motorist, The",1906,10,NA,7.0,44,4.5,0.0,0.0,0.0,4.5,14.5,34.5,14.5,4.5,14.5,,0,0,1,0,0,0,1
'A',1965,10,NA,6.7,11,14.5,0.0,0.0,0.0,0.0,14.5,4.5,4.5,14.5,24.5,,0,0,0,0,0,0,1
'A' gai waak,1983,106,NA,7.1,1259,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,PG-13,1,0,1,0,0,0,0
'A' gai waak juk jaap,1987,101,NA,7.2,614,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,1,0,1,0,0,0,0
'Breaker' Morant,1980,107,NA,7.9,2718,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
'Bullitt': Steve McQueen's Commitment to Reality,1968,10,NA,6.6,37,0.0,0.0,4.5,4.5,4.5,14.5,44.5,14.5,4.5,4.5,,0,0,0,0,1,0,1
'Crocodile' Dundee II,1988,110,NA,5.0,7252,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,,1,0,1,0,0,0,0
'E',1981,7,NA,8.6,15,0.0,0.0,0.0,0.0,4.5,4.5,0.0,14.5,24.5,45.5,,0,1,1,0,0,0,1
'El Chicko' - der Verdacht,1995,90,NA,3.9,10,24.5,14.5,24.5,14.5,0.0,14.5,14.5,0.0,0.0,24.5,,0,0,1,0,0,0,0
'G' Men,1935,85,450000,7.2,281,0.0,4.5,4.5,4.5,4.5,14.5,34.5,34.5,4.5,4.5,,0,0,0,1,0,0,0
'Gator Bait,1974,88,NA,3.5,100,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
'Gator Bait II: Cajun Justice,1988,95,NA,3.1,54,24.5,14.5,4.5,14.5,4.5,14.5,0.0,4.5,0.0,4.5,,0,0,0,0,0,0,0
"'High Sign', The",1921,18,NA,7.8,145,0.0,0.0,4.5,0.0,4.5,14.5,24.5,24.5,24.5,14.5,,0,0,1,0,0,0,1
'Hukkunud Alpinisti' hotell,1979,80,NA,7.7,45,4.5,0.0,4.5,4.5,4.5,4.5,24.5,14.5,14.5,34.5,,0,0,0,0,0,0,0
"'Hyp-Nut-Tist', The",1935,6,NA,6.2,18,4.5,0.0,0.0,24.5,0.0,24.5,14.5,14.5,14.5,0.0,,0,1,1,0,0,0,1
'I Do...',1989,86,NA,6.2,10,0.0,0.0,0.0,24.5,24.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
'I Know Where I'm Going!',1945,92,NA,7.7,825,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,0,1,0,1,0
'Java Madness' formerly titled 'Coffee Madness',1995,7,NA,6.8,10,0.0,14.5,0.0,0.0,14.5,14.5,34.5,0.0,14.5,34.5,,0,0,1,0,0,0,1
"'Je vous salue, Marie'",1985,105,NA,6.4,322,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
'Kaash',1987,140,NA,5.9,13,4.5,4.5,0.0,0.0,24.5,24.5,0.0,24.5,0.0,14.5,,0,0,0,1,0,0,0
'M' Word,1996,99,NA,4.6,6,14.5,0.0,14.5,14.5,14.5,0.0,14.5,0.0,0.0,14.5,,0,0,1,0,0,1,0
"'Mad' Boy, I'll Blow Your Blues Away. Be Mine",1997,19,NA,7.3,21,4.5,0.0,0.0,4.5,4.5,4.5,4.5,14.5,4.5,44.5,,0,0,0,0,0,0,1
'Manos' the Hands of Fate,1966,74,19000,1.6,7996,74.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
'Merci la vie',1991,117,NA,7.2,251,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
'Neath Brooklyn Bridge,1942,61,NA,6.1,114,0.0,0.0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,1,1,0,0,0
'Neath Canadian Skies,1946,41,NA,5.4,7,14.5,0.0,14.5,14.5,0.0,24.5,0.0,14.5,0.0,14.5,,0,0,0,0,0,0,1
'Neath the Arizona Skies,1934,52,NA,4.6,105,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
"'Night, Mother",1986,96,NA,6.8,364,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
'O re,1989,90,NA,3.9,8,0.0,14.5,14.5,0.0,0.0,34.5,0.0,14.5,14.5,14.5,,0,0,1,0,0,0,0
'Pimpernel' Smith,1941,120,NA,7.2,139,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
'R Xmas,2001,83,NA,4.9,288,14.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,1,0,0,0
'Round Midnight,1986,133,NA,7.3,902,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
"'Sheba, Baby'",1975,90,NA,5.5,91,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
